Burrito-Veggie|8|milk-soybean-wheat-gluten|Burritos
Burrito-Chicken|9|milk-wheat-gluten|Burritos
Burrito-Beef|9|milk-wheat-gluten|Burritos
Tacos-Veggie|7|milk-soybean-wheat-gluten|Tacos
Tacos-Chicken|8|milk-wheat-gluten|Tacos
Tacos-Beef|8|milk-wheat-gluten|Tacos
Nachos-Veggie|10|milk-soybean-wheat-gluten|Nachos
Nachos-Chicken|11|milk-wheat-gluten|Nachos
Nachos-Beef|11|milk-wheat-gluten|Nachos
Fajitas-Veggie|10|milk-soybean-wheat-gluten|Fajitas
Fajitas-Chicken|11|milk-wheat-gluten|Fajitas
Fajitas-Beef|11|milk-wheat-gluten|Fajitas
